ortoo_tm__CountryCode__c,ortoo_tm__PostalCode__c,ortoo_tm__City__c,ortoo_tm__State__c,ortoo_tm__StateCode__c,ortoo_tm__Municipality__c,ortoo_tm__MunicipalityCode__c
USA,00501,Holtsville,New York,NY,Suffolk,103
USA,00544,Holtsville,New York,NY,Suffolk,103
USA,01001,Agawam,Massachusetts,MA,Hampden,13
USA,01002,Amherst,Massachusetts,MA,Hampshire,15
USA,01003,Amherst,Massachusetts,MA,Hampshire,15
USA,01004,Amherst,Massachusetts,MA,Hampshire,15
USA,01005,Barre,Massachusetts,MA,Worcester,27
USA,01007,Belchertown,Massachusetts,MA,Hampshire,15
USA,01008,Blandford,Massachusetts,MA,Hampden,13
USA,01009,Bondsville,Massachusetts,MA,Hampden,13
USA,01010,Brimfield,Massachusetts,MA,Hampden,13
USA,01011,Chester,Massachusetts,MA,Hampden,13
USA,01012,Chesterfield,Massachusetts,MA,Hampshire,15
USA,01013,Chicopee,Massachusetts,MA,Hampden,13
USA,01014,Chicopee,Massachusetts,MA,Hampden,13
USA,01020,Chicopee,Massachusetts,MA,Hampden,13
USA,01021,Chicopee,Massachusetts,MA,Hampden,13
USA,01022,Chicopee,Massachusetts,MA,Hampden,13
USA,01026,Cummington,Massachusetts,MA,Hampshire,15
USA,01027,Easthampton,Massachusetts,MA,Hampshire,15
USA,01028,East Longmeadow,Massachusetts,MA,Hampden,13
USA,01029,East Otis,Massachusetts,MA,Berkshire,3
USA,01030,Feeding Hills,Massachusetts,MA,Hampden,13
USA,01031,Gilbertville,Massachusetts,MA,Worcester,27
USA,01032,Goshen,Massachusetts,MA,Hampshire,15
USA,01033,Granby,Massachusetts,MA,Hampshire,15
USA,01034,Granville,Massachusetts,MA,Hampden,13
USA,01035,Hadley,Massachusetts,MA,Hampshire,15
USA,01036,Hampden,Massachusetts,MA,Hampden,13
USA,01037,Hardwick,Massachusetts,MA,Worcester,27
USA,01038,Hatfield,Massachusetts,MA,Hampshire,15
USA,01039,Haydenville,Massachusetts,MA,Hampshire,15
USA,01040,Holyoke,Massachusetts,MA,Hampden,13
USA,01041,Holyoke,Massachusetts,MA,Hampden,13
USA,01050,Huntington,Massachusetts,MA,Hampshire,15
USA,01053,Leeds,Massachusetts,MA,Hampshire,15
USA,01054,Leverett,Massachusetts,MA,Franklin,11
USA,01056,Ludlow,Massachusetts,MA,Hampden,13
USA,01057,Monson,Massachusetts,MA,Hampden,13
USA,01059,North Amherst,Massachusetts,MA,Hampshire,15
USA,01060,Northampton,Massachusetts,MA,Hampshire,15
USA,01061,Northampton,Massachusetts,MA,Hampshire,15
USA,01062,Florence,Massachusetts,MA,Hampshire,15
USA,01063,Northampton,Massachusetts,MA,Hampshire,15
USA,01066,North Hatfield,Massachusetts,MA,Hampshire,15
USA,01068,Oakham,Massachusetts,MA,Worcester,27
USA,01069,Palmer,Massachusetts,MA,Hampden,13
USA,01070,Plainfield,Massachusetts,MA,Hampshire,15
USA,01071,Russell,Massachusetts,MA,Hampden,13
USA,01072,Shutesbury,Massachusetts,MA,Franklin,11
USA,01073,Southampton,Massachusetts,MA,Hampshire,15
USA,01074,South Barre,Massachusetts,MA,Worcester,27
USA,01075,South Hadley,Massachusetts,MA,Hampshire,15
USA,01077,Southwick,Massachusetts,MA,Hampden,13
USA,01079,Thorndike,Massachusetts,MA,Hampden,13
USA,01080,Three Rivers,Massachusetts,MA,Hampden,13
USA,01081,Wales,Massachusetts,MA,Hampden,13
USA,01082,Ware,Massachusetts,MA,Hampshire,15
USA,01083,Warren,Massachusetts,MA,Worcester,27
USA,01084,West Chesterfield,Massachusetts,MA,Hampshire,15
USA,01085,Westfield,Massachusetts,MA,Hampden,13
USA,01086,Westfield,Massachusetts,MA,Hampden,13
USA,01088,West Hatfield,Massachusetts,MA,Hampshire,15
USA,01089,West Springfield,Massachusetts,MA,Hampden,13
USA,01090,West Springfield,Massachusetts,MA,Hampden,13
USA,01092,West Warren,Massachusetts,MA,Worcester,27
USA,01093,Whately,Massachusetts,MA,Franklin,11
USA,01094,Wheelwright,Massachusetts,MA,Worcester,27
USA,01095,Wilbraham,Massachusetts,MA,Hampden,13
USA,01096,Williamsburg,Massachusetts,MA,Hampshire,15
USA,01097,Woronoco,Massachusetts,MA,Hampden,13
USA,01098,Worthington,Massachusetts,MA,Hampshire,15
USA,01101,Springfield,Massachusetts,MA,Hampden,13
USA,01102,Springfield,Massachusetts,MA,Hampden,13
USA,01103,Springfield,Massachusetts,MA,Hampden,13
